full_name,owner,name,stars,forks,language,pr_count,url
beemdevelopment/Aegis,beemdevelopment,Aegis,12330,524,Java,513,https://github.com/beemdevelopment/Aegis
amitshekhariitbhu/android-interview-questions,amitshekhariitbhu,android-interview-questions,12314,2379,Java,101,https://github.com/amitshekhariitbhu/android-interview-questions
redis/jedis,redis,jedis,12305,3899,Java,1000,https://github.com/redis/jedis
PaperMC/Paper,PaperMC,Paper,12194,3382,Java,1000,https://github.com/PaperMC/Paper
Team-xManager/xManager,Team-xManager,xManager,12190,326,Java,102,https://github.com/Team-xManager/xManager
Yalantis/uCrop,Yalantis,uCrop,12093,2229,Java,198,https://github.com/Yalantis/uCrop
provectus/kafka-ui,provectus,kafka-ui,12052,1386,Java,1000,https://github.com/provectus/kafka-ui
grpc/grpc-java,grpc,grpc-java,12006,3986,Java,1000,https://github.com/grpc/grpc-java
Tencent/matrix,Tencent,matrix,12004,1933,Java,221,https://github.com/Tencent/matrix
Tencent/VasSonic,Tencent,VasSonic,11871,1616,Java,113,https://github.com/Tencent/VasSonic
datahub-project/datahub,datahub-project,datahub,11832,3455,Java,1000,https://github.com/datahub-project/datahub
OpenRefine/OpenRefine,OpenRefine,OpenRefine,11811,2137,Java,1000,https://github.com/OpenRefine/OpenRefine
langchain4j/langchain4j,langchain4j,langchain4j,11722,2165,Java,1000,https://github.com/langchain4j/langchain4j
code4craft/webmagic,code4craft,webmagic,11689,4142,Java,209,https://github.com/code4craft/webmagic
StarRocks/starrocks,StarRocks,starrocks,11601,2397,Java,1000,https://github.com/StarRocks/starrocks
realm/realm-java,realm,realm-java,11480,1753,Java,1000,https://github.com/realm/realm-java
jhy/jsoup,jhy,jsoup,11364,2283,Java,827,https://github.com/jhy/jsoup
mission-peace/interview,mission-peace,interview,11331,5159,Java,123,https://github.com/mission-peace/interview
apereo/cas,apereo,cas,11321,3956,Java,1000,https://github.com/apereo/cas
apple/pkl,apple,pkl,11313,374,Java,776,https://github.com/apple/pkl
permissions-dispatcher/PermissionsDispatcher,permissions-dispatcher,PermissionsDispatcher,11187,1435,Java,300,https://github.com/permissions-dispatcher/PermissionsDispatcher
jwtk/jjwt,jwtk,jjwt,11043,1384,Java,365,https://github.com/jwtk/jjwt
androidannotations/androidannotations,androidannotations,androidannotations,10999,2322,Java,630,https://github.com/androidannotations/androidannotations
