nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
996icu/996.ICU,996icu,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,Unknown,275650,20952,2019-03-26T07:31:14Z,2026-03-05T22:52:36Z,2536,0,1072,0,0,0,0,0.0,0,https://github.com/996icu/996.ICU
openclaw/openclaw,openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,265284,50772,2025-11-24T10:16:47Z,2026-03-05T22:57:40Z,101,0,2741,59,0,10016,10016,1.0,0,https://github.com/openclaw/openclaw
practical-tutorials/project-based-learning,practical-tutorials,Curated list of project-based tutorials,Unknown,260275,33901,2017-04-12T05:07:46Z,2026-03-05T22:54:10Z,3249,0,182,0,0,82,82,1.0,0,https://github.com/practical-tutorials/project-based-learning
facebook/react,facebook,The library for web and native user interfaces.,JavaScript,243640,50649,2013-05-24T16:15:54Z,2026-03-05T22:52:30Z,4668,0,12774,118,0,13576,13576,1.0,0,https://github.com/facebook/react
torvalds/linux,torvalds,Linux kernel source tree,C,221045,60785,2011-09-04T22:48:12Z,2026-03-05T22:55:36Z,5296,0,0,0,0,0,0,0.0,0,https://github.com/torvalds/linux
TheAlgorithms/Python,TheAlgorithms,All Algorithms implemented in Python,Python,218367,50126,2016-07-16T09:44:01Z,2026-03-05T22:25:46Z,3519,0,3046,0,0,1540,1540,1.0,0,https://github.com/TheAlgorithms/Python
vuejs/vue,vuejs,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209962,33868,2013-07-29T03:24:51Z,2026-03-05T20:23:00Z,4602,0,1136,249,0,9668,9668,1.0,0,https://github.com/vuejs/vue
trimstray/the-book-of-secret-knowledge,trimstray,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",Unknown,208814,12552,2018-06-23T10:43:14Z,2026-03-05T22:42:37Z,2812,0,122,0,0,0,0,0.0,0,https://github.com/trimstray/the-book-of-secret-knowledge
ossu/computer-science,ossu,🎓 Path to a free self-taught education in Computer Science!,HTML,202144,25116,2014-05-04T00:18:39Z,2026-03-05T22:47:30Z,4323,0,305,0,0,654,654,1.0,0,https://github.com/ossu/computer-science
trekhleb/javascript-algorithms,trekhleb,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195732,31116,2018-03-24T07:47:04Z,2026-03-05T22:39:50Z,2903,0,304,0,0,233,233,1.0,0,https://github.com/trekhleb/javascript-algorithms
tensorflow/tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194008,75215,2015-11-07T01:19:20Z,2026-03-05T22:52:32Z,3771,0,42327,221,0,40300,40300,1.0,0,https://github.com/tensorflow/tensorflow
ohmyzsh/ohmyzsh,ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",Shell,185130,26305,2009-08-28T18:15:37Z,2026-03-05T22:58:04Z,6033,0,3515,0,0,4891,4891,1.0,0,https://github.com/ohmyzsh/ohmyzsh
getify/You-Dont-Know-JS,getify,A book series (2 published editions) on the JS language.,Unknown,184462,33632,2013-11-16T02:37:24Z,2026-03-05T22:28:36Z,4492,0,370,0,0,949,949,1.0,0,https://github.com/getify/You-Dont-Know-JS
CyC2018/CS-Notes,CyC2018,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,Unknown,183818,51163,2018-02-13T14:56:24Z,2026-03-05T16:40:25Z,2942,0,374,0,0,449,449,1.0,0,https://github.com/CyC2018/CS-Notes
microsoft/vscode,microsoft,Visual Studio Code,TypeScript,182324,38305,2015-09-03T20:23:38Z,2026-03-05T22:53:47Z,3836,0,43324,197,0,218766,218766,1.0,0,https://github.com/microsoft/vscode
Significant-Gravitas/AutoGPT,Significant-Gravitas,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,182202,46205,2023-03-16T09:21:07Z,2026-03-05T21:56:15Z,1085,0,3970,94,0,3505,3505,1.0,0,https://github.com/Significant-Gravitas/AutoGPT
jackfrued/Python-100-Days,jackfrued,Python - 100天从新手到大师,Jupyter Notebook,179312,55470,2018-03-01T16:05:52Z,2026-03-05T20:48:47Z,2926,0,13,0,0,188,188,1.0,0,https://github.com/jackfrued/Python-100-Days
n8n-io/n8n,n8n-io,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,177755,55466,2019-06-22T09:24:21Z,2026-03-05T22:39:40Z,2448,0,14089,547,0,7746,7746,1.0,0,https://github.com/n8n-io/n8n
flutter/flutter,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,175436,30080,2015-03-06T22:54:58Z,2026-03-05T22:49:16Z,4017,0,46931,7,0,100281,100281,1.0,0,https://github.com/flutter/flutter
twbs/bootstrap,twbs,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",MDX,174024,79059,2011-07-29T21:19:00Z,2026-03-05T22:52:29Z,5333,0,9114,94,0,22455,22455,1.0,0,https://github.com/twbs/bootstrap
github/gitignore,github,A collection of useful .gitignore templates,Unknown,172831,82793,2010-11-08T20:17:14Z,2026-03-05T22:57:56Z,5596,0,1727,0,0,0,0,0.0,0,https://github.com/github/gitignore
massgravel/Microsoft-Activation-Scripts,massgravel,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting.",Batchfile,167796,16151,2020-01-12T23:03:34Z,2026-03-05T22:48:59Z,2243,0,5,29,0,906,906,1.0,0,https://github.com/massgravel/Microsoft-Activation-Scripts
avelino/awesome-go,avelino,"A curated list of awesome Go frameworks, libraries and software",Go,166640,13013,2014-07-06T13:42:15Z,2026-03-05T22:51:39Z,4260,0,3609,0,0,713,713,1.0,0,https://github.com/avelino/awesome-go
ollama/ollama,ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,164193,14782,2023-06-26T19:39:32Z,2026-03-05T22:26:04Z,983,0,3071,189,0,7501,7501,1.0,0,https://github.com/ollama/ollama
